State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop
Dept of Defense,4360160,N/A,N/A,3820390,N/A,3734995,N/A,2244606,N/A,2178360,N/A,1611076,N/A,1592363,N/A,2357160,1816800,186200,0,130272,1618119,2071600,399,643047,840675,127354,0,642970,822076,127317,0,1483722,N/A,2178360,N/A,0,1465046,0,2244606,178110,0,130077,0,46729,78097,5251,0,317256,0,0,2242138,0,1610966,0,643024,840603,127339,0,3817826,0,0
Delaware,1257145,129102,163225,978247,100460,939802,122022,547261,56.2,523508,68,444941,45.7,432938,56.2,679965,511380,65800,0,42073,394137,541680,357,169780,233504,41486,171,169690,221620,41457,171,403455,56.2,523508,68,41.4,391481,50.8,547261,174173,92.2,152916,80.9,62975,81725,8111,105,327454,173342,665487,547113,65.1,444915,53,169776,233489,41479,171,978074,116464,149695
Florida,24267785,112990,140701,19628896,91392,19153028,111046,10960053,51,10643376,61.7,8897354,41.4,8745158,50.7,12749685,9824000,1694100,0,893943,8130577,10564014,40362,3516901,4487789,879618,13046,3515996,4337227,878904,13031,8017736,51,10643376,61.7,37.3,7866254,45.6,10960053,3987169,88.7,3414667,75.9,1701669,1536134,167606,9258,7687548,170936,539603,10953232,58.6,8896283,47.6,3516320,4487698,879219,13046,19621346,104949,129802
Federated States of Micronesia,77800,75065,96237,46216,44592,46186,57131,26978,26,26949,33.3,22243,21.5,22233,27.5,0,67600,10200,0,3090,43126,0,0,19136,39,3068,0,19132,39,3062,0,19175,26,26949,33.3,18.5,19171,23.7,26978,2273,12.9,2025,11.5,1686,5,334,0,3951,22425,441569,26969,30.5,22239,25.1,19135,39,3065,0,46206,52205,87901
Georgia,10928305,102928,134692,7936088,74746,7718721,95134,4384788,41.3,4233068,52.2,3592184,33.8,3525130,43.4,5709405,4622200,596700,0,203539,3440928,4290961,660,1526190,1865001,200597,396,1525765,1798636,200347,382,3391587,41.3,4233068,52.2,31.9,3324783,41,4384788,1212176,79.9,1053486,69.4,586846,440984,25471,185,2336530,154028,720411,4383272,48.8,3591960,40,1526148,1864906,200510,396,7934467,88277,121586
Guam,215770,130164,166877,169423,102205,161020,124533,94405,57,88463,68.4,77601,46.8,75137,58.1,122070,74200,19500,0,3512,66196,99715,0,29726,44362,3513,0,29717,41907,3513,0,74088,57,88463,68.4,44.7,71624,55.4,94405,14704,52.2,13189,46.8,5654,7297,238,0,27829,98751,765658,94396,66.7,77600,54.8,29725,44362,3513,0,169413,119674,152421
Hawaii,1901220,134279,170360,1625546,114809,1556251,139449,964314,68.1,911469,81.7,695186,49.1,677713,60.7,1072500,747520,81200,0,33405,576793,921588,93760,246738,396572,33803,18073,246243,379730,33684,18056,661383,68.1,911469,81.7,46.7,644029,57.7,964314,265808,99,221427,82.5,92792,119467,7759,1409,479627,178667,708227,961124,79.4,694663,57.4,246693,396134,33774,18062,1622548,133972,156982
Iowa,3400315,107773,140033,2925617,92727,2825273,116351,1583505,50.2,1518836,62.5,1435618,45.5,1400868,57.7,1797315,1415200,187800,0,118864,1264191,1542434,128,607845,711166,116530,77,607735,676581,116475,77,1319088,50.2,1518836,62.5,41.8,1284393,52.9,1583505,485795,87.9,466109,84.3,248886,206515,10657,51,946943,171252,614936,1583455,59.2,1435605,53.6,607839,711161,116528,77,2925594,109316,127054
Idaho,1643205,91950,122731,1269091,71015,1268877,94773,686860,38.4,686168,51.3,605505,33.9,605286,45.2,850785,692320,100100,0,44899,553844,669555,793,253569,306943,44750,243,253557,306751,44736,242,560755,38.4,686168,51.3,31.4,560550,41.9,686860,231869,79.8,216818,74.6,101214,106891,8610,103,446556,153630,565316,686836,45.9,605493,40.5,253566,306941,44743,243,1269068,84864,109883
Indian Health Svc,1743515,83710,N/A,1400852,67258,1336687,N/A,784088,37.6,742543,N/A,632656,30.4,610097,N/A,752115,916700,74700,0,23898,762544,614410,0,336677,272254,23725,0,336470,249938,23689,0,608931,37.6,742543,N/A,29.2,586408,0,784088,148802,0,123757,0,71270,49998,2489,0,273101,0,0,783790,0,632530,0,336611,272207,23712,0,1400409,0,0
Illinois,14432025,113891,146459,12141586,95816,11588116,117599,7199627,56.8,6812311,69.1,5326217,42,5152172,52.3,7868445,5713380,850200,0,411672,4896756,6824446,8712,2065545,2846067,411677,2928,2060415,2679093,409755,2909,4914540,56.8,6812311,69.1,38.8,4742417,48.1,7199627,1813468,88.8,1467231,71.8,678179,726342,61076,1634,3235396,158347,706333,7181846,66.3,5321246,49.1,2065503,2841162,411653,2928,12118714,111819,133164
Indiana,6572110,97622,127262,5298467,78703,5129831,99334,2891430,42.9,2783882,53.9,2500847,37.1,2444147,47.3,3530670,2614540,426900,0,180865,2128979,2974559,14064,979995,1338157,178116,4579,979832,1281752,177995,4568,2322731,42.9,2783882,53.9,34.5,2266152,43.9,2891430,886097,81.6,841810,77.5,419979,397296,21961,2574,1739883,160248,605310,2891228,50.7,2500792,43.8,979985,1338126,178102,4579,5298258,92870,115198
Kansas,3027785,103929,136814,2390073,82040,2321391,104895,1393739,47.8,1343516,60.7,1157773,39.7,1133089,51.2,1527045,1328540,172200,0,77060,1064179,1248168,666,495402,585297,76837,237,495260,560819,76775,235,1080936,47.8,1343516,60.7,37.1,1056314,47.7,1393739,432482,91,369938,77.8,180097,175988,13723,130,771936,162346,636776,1393630,56.8,1157754,47.2,495395,585291,76831,237,2389962,97482,123498
Kentucky,4390115,98264,126706,3772665,84444,3664900,105775,2131147,47.7,2057500,59.4,1790975,40.1,1756780,50.7,2215395,1908420,266300,0,152198,1668487,1951513,467,757375,884133,148994,473,757255,850140,148916,469,1641981,47.7,2057500,59.4,36.8,1607864,46.4,2131147,636844,84.8,570792,76,261048,277351,32107,286,1162456,154878,584909,2130840,56,1790937,47.1,757367,884122,148976,472,3771645,99093,115342
Louisiana,3979160,85596,111738,3181695,68441,3125324,87761,1708278,36.7,1670964,46.9,1506158,32.4,1487534,41.8,1999140,1741920,238100,0,113000,1474388,1593191,1116,672336,725675,107600,547,672110,707370,107510,544,1398558,36.7,1670964,46.9,30.1,1380024,38.8,1708278,573334,77.4,541132,73,260017,263174,17825,116,1121050,151284,536983,1708154,43.5,1506121,38.4,672327,725663,107584,547,3181556,81094,101423
Massachusetts,9569230,138835,172739,8430750,122318,8024215,144849,4712521,68.4,4449204,80.3,3959058,57.4,3814392,68.9,5293470,3831060,444700,0,274955,3429496,4726118,181,1559396,2124031,275582,49,1554923,1984830,274594,45,3683476,68.4,4449204,80.3,53.4,3539798,63.9,4712521,1115304,95.4,991241,84.8,452192,476423,62608,18,2043995,174800,818350,4700403,78.1,3955271,65.7,1559388,2120257,275577,49,8414784,139856,159043
Maryland,8286690,137068,175901,6423560,106250,6119236,129893,3575099,59.1,3382295,71.8,3089156,51.1,2979371,63.2,4585230,3262060,439400,0,247335,2564477,3606271,5477,1192439,1654986,240147,1584,1192195,1545581,240030,1565,2849009,59.1,3382295,71.8,47.1,2739341,58.1,3575099,857837,89.4,795690,82.9,387449,360861,46840,540,1598079,166571,863740,3574780,69.2,3089065,59.8,1192410,1654949,240122,1584,6423282,124413,160505
Maine,1818640,135294,166030,1543742,114844,1480031,135117,872065,64.9,832159,76,774785,57.6,751329,68.6,936780,778760,103100,0,99999,662994,780437,312,313200,362887,98618,80,313154,339525,98575,75,676167,64.9,832159,76,50.3,652754,59.6,872065,268325,94.1,253801,89,116393,116537,20847,24,500029,175286,637527,871976,73.6,774761,65.4,313196,362884,98601,80,1543651,130273,153480
Marshall Islands,51300,87823,112594,30904,52906,30829,67664,16893,28.9,16839,37,14376,24.6,14350,31.5,0,40500,10800,0,397,30507,0,0,13966,10,400,0,13944,8,398,0,13976,28.9,16839,37,23.9,13952,30.6,16893,1015,10.2,849,8.5,830,0,19,0,1845,18580,516616,16876,33.8,14369,28.8,13959,10,400,0,30880,61904,102839
Michigan,11436950,114520,145825,8994933,90068,8667877,110518,4986708,49.9,4776153,60.9,4404586,44.1,4286477,54.7,6007170,4787280,642500,0,307035,3744996,4941561,1341,1772866,2318862,312212,646,1772422,2201366,312047,642,4092374,49.9,4776153,60.9,41,3974430,50.7,4986708,1478867,83.8,1391575,78.8,699292,633644,58213,426,2787308,157885,647839,4986438,58,4404523,51.2,1772846,2318832,312200,645,8994633,104650,133065
Minnesota,6438580,114167,148475,5597912,99260,5338478,123106,3132386,55.5,2968247,68.4,2721966,48.3,2627241,60.6,3520140,2573540,344900,0,246048,2237852,3113636,376,1040798,1433319,247730,119,1039204,1340561,247365,111,2474236,55.5,2968247,68.4,43.9,2379876,54.9,3132386,834633,90.7,777849,84.5,328862,405612,43344,31,1556996,169168,699555,3123869,65.4,2719093,56.9,1040787,1430475,247712,119,5586401,116917,134752
Missouri,6003695,97821,125947,4822265,78571,4677691,98130,2653225,43.2,2562226,53.8,2198468,35.8,2151187,45.1,3226275,2466120,311300,0,155477,1864292,2802090,406,835568,1206751,156073,76,835364,1159809,155941,73,2042395,43.2,2562226,53.8,33.3,1995246,41.9,2653225,841712,79.3,749093,70.5,343646,374902,30510,35,1599539,150610,565300,2652939,50.7,2198435,42,835559,1206740,156060,76,4821966,92098,114668
Northern Mariana Islands,72330,127158,163023,51128,89884,48553,109432,27461,48.3,25723,58,24009,42.2,23171,52.2,49530,20200,2600,0,323,7291,43514,0,3303,20378,328,0,3303,19540,328,0,23681,48.3,25723,58,41.6,22843,51.5,27461,2648,27.4,2539,26.3,414,2068,57,0,5129,53040,747983,27461,56.5,24009,49.4,3303,20378,328,0,51128,105254,148901
Mississippi,2622255,88109,115134,1823210,61261,1797951,78942,1038323,34.9,1019976,44.8,835243,28.1,827965,36.4,1294215,1164040,164000,0,53319,855569,913425,897,384005,398830,52373,35,383882,391719,52329,35,782870,34.9,1019976,44.8,26.3,775636,34.1,1038323,367268,75.5,320954,65.9,170391,136858,13693,12,669700,137602,538790,1038250,41.2,835224,33.1,384001,398822,52366,35,1823136,72306,103999
Montana,1095505,102501,130388,901981,84394,875747,104232,496661,46.5,479528,57.1,431854,40.4,422955,50.3,538785,487120,69600,0,34634,411129,455924,294,190329,207696,33741,88,190254,198890,33723,88,398113,46.5,479528,57.1,37.2,389232,46.3,496661,168167,81.5,154977,75.1,75000,72613,7317,47,316201,153171,530673,496576,54.1,431833,47.1,190316,207691,33738,88,901871,98286,119388
North Carolina,11516730,109808,140665,8357198,79683,8084960,98749,4633195,44.2,4458290,54.5,3923902,37.4,3826469,46.7,6135090,4735340,646300,0,284454,3391454,4680961,329,1520887,2121376,281598,41,1518565,2027322,280541,41,3642304,44.2,4458290,54.5,34.7,3545928,43.3,4633195,1388458,79.3,1257633,71.8,591277,635333,30995,28,2662711,152060,657688,4626758,51.5,3921712,43.6,1520797,2119294,281580,41,8348585,92912,128170
North Dakota,702640,92202,120751,625615,82095,609685,104776,326910,42.9,317276,54.5,285377,37.4,280346,48.2,357240,308900,36500,0,26711,270568,328336,0,120097,141461,23818,1,119935,136693,23717,1,261559,42.9,317276,54.5,34.3,256629,44.1,326910,99246,82.8,88298,73.7,43755,41231,3312,0,192488,160614,586291,326485,51.2,285271,44.8,120093,141361,23816,1,625039,98084,110262
Nebraska,2051790,106068,140694,1753144,90629,1690303,115906,958124,49.5,917098,62.9,850903,44,828840,56.8,1132170,811620,108000,0,63762,706076,980076,3230,330219,455701,64036,947,330118,433797,63995,930,786867,49.5,917098,62.9,40.7,764845,52.4,958124,271201,86.8,254829,81.6,123988,125162,5037,642,530160,169674,656661,957928,59.2,850856,52.6,330201,455685,64023,947,1752899,108377,126857
New Hampshire,1781735,131038,161322,1469474,108073,1405022,127214,830224,61.1,791073,71.6,722159,53.1,699467,63.3,942435,722600,116700,0,54756,630853,783844,21,304336,361804,55994,25,304107,339374,55961,25,666165,61.1,791073,71.6,49,643506,58.3,830224,234018,92.2,213036,83.9,92702,107497,12822,15,419956,165426,701846,829811,69.2,721984,60.2,304238,361735,55986,25,1468888,122553,148655
New Jersey,11300805,127230,162751,9559315,107623,9159637,131915,5550116,62.5,5286296,76.1,4623291,52.1,4484217,64.6,6065865,4628940,606000,0,372511,4007436,5178893,475,1846380,2401256,375611,44,1846056,2262674,375451,36,4247680,62.5,5286296,76.1,47.8,4108766,59.2,5550116,1344067,91.1,1201931,81.5,569006,553341,79567,17,2419162,163952,765878,5549517,72.8,4623198,60.7,1846361,2401227,375566,44,9558726,125469,148336
New Mexico,2316955,110498,142934,2208707,105336,2119338,130743,1238194,59.1,1174590,72.5,1039657,49.6,1009107,62.3,1166295,1012160,138500,0,66846,980451,1158213,3197,438227,534802,65690,938,437943,504638,65591,935,973967,59.1,1174590,72.5,46.4,943516,58.2,1238194,342938,90.8,306806,81.3,141439,149106,15725,536,630709,167028,613591,1238038,69.3,1039620,58.2,438211,534788,65683,938,2208546,123560,129625
Nevada,2988140,97013,125157,2607988,84671,2534428,106153,1453556,47.2,1404305,58.8,1193391,38.7,1171084,49.1,1598220,1206820,183100,0,112997,1057268,1437723,0,475086,607178,111117,10,475018,584972,111084,10,1082274,47.2,1404305,58.8,35.1,1060000,44.4,1453556,399841,80.6,353897,71.4,169797,164397,19698,5,753256,151875,602482,1453506,55.4,1193375,45.5,475083,607167,111115,10,2607954,99472,113973
New York State,23329865,119926,151245,20523679,105501,19811522,128436,11210384,57.6,10749832,69.7,9656450,49.6,9401966,61,12500865,9578300,1250700,0,875471,8376710,11266962,4536,3806973,5019974,828573,930,3806048,4766886,828125,907,8827877,57.6,10749832,69.7,45.4,8573841,55.6,11210384,2779984,84.3,2524609,76.6,1218524,1155261,150339,485,5245191,159131,707792,11209239,66.8,9656054,57.6,3806845,5019819,828474,916,20522216,122351,139090
Ohio,12195155,104329,133850,10224006,87466,9881374,108454,5491213,47,5275396,57.9,4901399,41.9,4778253,52.4,6433635,5106120,655400,0,405471,4252137,5554930,11468,1956967,2549526,391435,3471,1956699,2426820,391292,3442,4509964,47,5275396,57.9,38.6,4386961,48.1,5491213,1694956,82.8,1601323,78.3,733580,791596,74273,1874,3288900,160723,595955,5491000,54.9,4901353,49,1956958,2549504,391420,3471,10223798,102231,121943
Oklahoma,3967265,100260,132034,3022665,76388,2953361,98290,1674803,42.3,1629614,54.2,1371286,34.7,1348059,44.9,2008305,1736660,222300,0,88307,1404497,1529807,54,620030,664182,87045,29,619860,641174,86996,29,1284241,42.3,1629614,54.2,32.5,1261063,42,1674803,521348,82.1,449087,70.7,237733,196089,15255,10,965475,152012,624636,1674663,50.4,1371251,41.2,620016,664169,87037,29,3022502,90896,119308
Oregon,5527385,131051,164939,4281314,101507,4094024,122167,2387598,56.6,2264487,67.6,2058647,48.8,1993543,59.5,2929485,2287800,310100,0,157368,1723188,2398334,2424,799504,1102577,156090,476,797350,1040242,155483,468,1902557,56.6,2264487,67.6,45.1,1838060,54.8,2387598,652625,85.2,610170,79.6,278717,289368,41844,241,1215532,158669,721515,2381609,65.3,2056759,56.4,799502,1100694,156088,475,4273336,117149,151528
Pennsylvania,15354715,119940,151019,13212289,103205,12756317,125463,7756153,60.6,7444952,73.2,5945020,46.4,5802157,57.1,7789275,6504940,1060500,0,501039,5549106,7161775,369,2380551,3058969,505214,286,2379368,2917557,504957,275,5439806,60.6,7444952,73.2,42.5,5297200,52.1,7756153,2386201,99.7,1905753,79.6,902875,932970,69759,149,4246172,177415,641554,7754056,70,5944423,53.6,2380434,3058528,505175,286,13209628,119204,138561
Puerto Rico,3905990,122303,149029,2883298,90281,2766637,105558,1711869,53.6,1626643,62.1,1283950,40.2,1249923,47.7,1974570,1741420,190000,0,87274,1200477,1595251,296,504785,691722,87419,24,504610,657976,87313,24,1196531,53.6,1626643,62.1,37.5,1162610,44.4,1711869,449488,82.8,374874,69,176088,184329,14454,3,805221,148311,719431,1711203,62.7,1283829,47.1,504763,691656,87386,24,2882545,105690,143216
Rhode Island,1491055,140750,174420,1208840,114110,1157371,135386,662264,62.5,630121,73.7,578327,54.6,559792,65.5,825435,604020,61600,0,45057,485906,677836,41,225775,307547,44995,10,225734,289070,44978,10,533332,62.5,630121,73.7,50.3,514814,60.2,662264,176733,94.5,166007,88.8,76224,84182,5597,4,338934,181204,797160,662178,71.4,578307,62.4,225771,307532,44994,10,1208764,130326,160762
Republic of Palau,24600,137376,176129,24374,136114,24374,174511,13807,77.1,13806,98.8,12487,69.7,12487,89.4,0,20800,3800,0,1734,22639,1,0,10734,21,1732,0,10734,21,1732,0,10755,77.1,13806,98.8,60.1,10755,77,13807,1668,54.8,1610,52.9,1418,8,184,0,3052,100263,808147,13807,90.3,12487,81.7,10734,21,1732,0,24374,159391,160868
South Carolina,5182325,100653,128354,3919185,76120,3824317,94719,2162742,42,2100789,52,1829833,35.5,1796383,44.5,2644005,2225120,313200,0,135341,1602939,2179844,1061,707526,989714,132378,215,706196,958001,131971,215,1697455,42,2100789,52,33,1664412,41.2,2162742,779415,83.2,691197,73.8,293055,374927,23067,148,1453343,155102,553063,2159316,48.9,1828580,41.4,707451,988570,132344,215,3914487,88564,117248
South Dakota,946035,106938,141716,794815,89844,771347,115548,435559,49.2,419975,62.9,386604,43.7,378743,56.7,460395,426340,59300,0,24060,354217,416525,13,169253,193071,24267,13,169211,185263,24256,13,362337,49.2,419975,62.9,41,354487,53.1,435559,137910,90.8,128902,84.9,66667,58755,3473,7,259586,170925,622920,435535,59,386598,52.4,169251,193068,24266,13,794792,107681,128171
Tennessee,6201110,90803,116581,4984728,72992,4874582,91643,2734592,40,2660875,50,2244193,32.9,2209219,41.5,3263130,2570480,367500,0,145982,2077230,2751637,9879,908667,1190689,141925,2912,908406,1156127,141783,2903,2102268,40,2660875,50,30.8,2067436,38.9,2734592,884630,77.4,780887,68.3,394843,358918,25320,1806,1697997,148505,542343,2734114,46.9,2244100,38.5,908652,1190645,141891,2912,4984177,85410,106264
Texas,31153065,107440,144253,24127329,83210,23156798,107227,13343213,46,12740100,59,10956306,37.8,10505833,48.6,16676205,12583360,1893500,0,927352,10092297,13106834,846,4444444,5605107,906083,672,4261709,5374650,868829,644,10053743,46,12740100,59,34.7,9822507,45.5,13343213,3075611,82.4,2707304,72.5,1098222,1385022,223893,166,5788520,155012,834257,13339211,55.3,10954115,45.5,4443555,5603986,905902,672,24122577,100089,129260
Utah,3168840,98842,139304,2673373,83388,2545872,111918,1486140,46.4,1403926,61.7,1095684,34.2,1051764,46.2,1642680,1353760,172400,0,114101,1126027,1433245,0,434786,550678,110219,1,434604,507195,109964,1,985465,46.4,1403926,61.7,30.7,941800,41.4,1486140,317087,86.7,220677,60.3,97194,110775,12708,0,598057,163461,866106,1485790,57.3,1095579,42.3,434769,550617,110192,1,2672919,103112,122243
